ENSG00000148218	ENSG00000144410
ENSG00000091137	ENSG00000042832
ENSG00000115423	ENSG00000122735
ENSG00000115423	ENSG00000039139
ENSG00000276644	ENSG00000125378
ENSG00000151067	ENSG00000183873
ENSG00000123240	ENSG00000135486
ENSG00000112367	ENSG00000107290
ENSG00000107290	ENSG00000214274
ENSG00000136931	ENSG00000147465
ENSG00000138039	ENSG00000136574
ENSG00000118503	ENSG00000136695
ENSG00000081479	ENSG00000083857
ENSG00000075275	ENSG00000108641
ENSG00000139174	ENSG00000138002
ENSG00000259207	ENSG00000101162
ENSG00000120265	ENSG00000144908
ENSG00000185920	ENSG00000166341
ENSG00000143816	ENSG00000124875
ENSG00000110203	ENSG00000144908
ENSG00000196159	ENSG00000104884
ENSG00000164690	ENSG00000166341
ENSG00000073050	ENSG00000107611
ENSG00000117713	ENSG00000169071
ENSG00000183579	ENSG00000101115
ENSG00000196159	ENSG00000120057
ENSG00000178445	ENSG00000177000
ENSG00000196159	ENSG00000183579
ENSG00000171105	ENSG00000164867
ENSG00000134317	ENSG00000136371
ENSG00000145692	ENSG00000135903
ENSG00000117713	ENSG00000143816
ENSG00000132423	ENSG00000123453
ENSG00000083307	ENSG00000135862
ENSG00000180900	ENSG00000101444
ENSG00000143126	ENSG00000112655
ENSG00000165821	ENSG00000107404
ENSG00000196159	ENSG00000008083
ENSG00000119888	ENSG00000152990
ENSG00000144908	ENSG00000116962
ENSG00000007171	ENSG00000159131
ENSG00000176974	ENSG00000145692
ENSG00000075275	ENSG00000171428
ENSG00000106078	ENSG00000073050
ENSG00000164867	ENSG00000169071
ENSG00000111640	ENSG00000169071
ENSG00000035928	ENSG00000141510
ENSG00000196159	ENSG00000164741
ENSG00000160200	ENSG00000156925
ENSG00000095015	ENSG00000136931
ENSG00000164093	ENSG00000138061
ENSG00000116014	ENSG00000109163
ENSG00000167077	ENSG00000120498
ENSG00000024048	ENSG00000156219
ENSG00000177731	ENSG00000171551
ENSG00000198838	ENSG00000133454
ENSG00000165175	ENSG00000183091
ENSG00000138829	ENSG00000163359
ENSG00000133103	ENSG00000160563
ENSG00000148606	ENSG00000133116
ENSG00000187678	ENSG00000075213
ENSG00000011275	ENSG00000101292
ENSG00000147955	ENSG00000161011
ENSG00000155980	ENSG00000162063
ENSG00000183735	ENSG00000137601
ENSG00000030582	ENSG00000100285
ENSG00000105711	ENSG00000167371
ENSG00000196586	ENSG00000162676
ENSG00000171316	ENSG00000101292
ENSG00000071054	ENSG00000106991
ENSG00000145715	ENSG00000100234
ENSG00000175356	ENSG00000106991
ENSG00000129152	ENSG00000005102
ENSG00000129152	ENSG00000147223
ENSG00000145147	ENSG00000148400
ENSG00000167601	ENSG00000138798
ENSG00000189056	ENSG00000188766
ENSG00000171316	ENSG00000064309
ENSG00000189056	ENSG00000120008
ENSG00000099250	ENSG00000011201
ENSG00000198793	ENSG00000101292
ENSG00000171316	ENSG00000138798
ENSG00000101292	ENSG00000154134
ENSG00000105880	ENSG00000101292
ENSG00000019991	ENSG00000101292
ENSG00000138623	ENSG00000109163
ENSG00000178568	ENSG00000171316
ENSG00000144730	ENSG00000101292
ENSG00000184349	ENSG00000101292
ENSG00000146648	ENSG00000017427
ENSG00000171316	ENSG00000189056
ENSG00000146648	ENSG00000187323
ENSG00000189056	ENSG00000011201
ENSG00000007372	ENSG00000017427
ENSG00000036828	ENSG00000075213
ENSG00000145147	ENSG00000167601
ENSG00000189056	ENSG00000115827
ENSG00000164050	ENSG00000128342
ENSG00000101292	ENSG00000104826
ENSG00000138623	ENSG00000104826
ENSG00000118257	ENSG00000104826
ENSG00000092445	ENSG00000109163
ENSG00000089250	ENSG00000136160
ENSG00000171316	ENSG00000165802
ENSG00000101292	ENSG00000259384
ENSG00000171316	ENSG00000105880
ENSG00000187323	ENSG00000174684
ENSG00000178568	ENSG00000189056
ENSG00000145147	ENSG00000138623
ENSG00000112964	ENSG00000104826
ENSG00000114554	ENSG00000171316
ENSG00000077782	ENSG00000147437
ENSG00000187098	ENSG00000237651
ENSG00000058262	ENSG00000136695
ENSG00000165282	ENSG00000156298
ENSG00000125124	ENSG00000148204
ENSG00000179941	ENSG00000140650
ENSG00000140521	ENSG00000198951
ENSG00000152661	ENSG00000054983
ENSG00000128602	ENSG00000284194
ENSG00000213689	ENSG00000169126
ENSG00000168538	ENSG00000155657
ENSG00000197635	ENSG00000169432
ENSG00000070018	ENSG00000135925
ENSG00000030582	ENSG00000270647
ENSG00000106105	ENSG00000142168
ENSG00000106105	ENSG00000137601
ENSG00000112367	ENSG00000137601
ENSG00000110887	ENSG00000161011
ENSG00000196557	ENSG00000137601
ENSG00000178568	ENSG00000122359
ENSG00000106633	ENSG00000135100
ENSG00000170927	ENSG00000008710
ENSG00000092054	ENSG00000148677
ENSG00000092054	ENSG00000154358
ENSG00000178209	ENSG00000154358
ENSG00000196569	ENSG00000138131
ENSG00000123240	ENSG00000119392
ENSG00000111700	ENSG00000134538
ENSG00000132600	ENSG00000142798
ENSG00000168575	ENSG00000113721
ENSG00000140521	ENSG00000143847
ENSG00000053747	ENSG00000196878
ENSG00000137474	ENSG00000146950
ENSG00000006611	ENSG00000137474
ENSG00000175054	ENSG00000140521
ENSG00000164404	ENSG00000130385
ENSG00000066923	ENSG00000106410
ENSG00000100918	ENSG00000138039
ENSG00000147852	ENSG00000188157
ENSG00000073282	ENSG00000187741
ENSG00000189056	ENSG00000064218
ENSG00000108840	ENSG00000127914
ENSG00000160883	ENSG00000187634
ENSG00000100814	ENSG00000119684
ENSG00000057468	ENSG00000231852
ENSG00000142173	ENSG00000187634
ENSG00000189056	ENSG00000180998
ENSG00000077782	ENSG00000131748
ENSG00000165409	ENSG00000091137
ENSG00000101384	ENSG00000140254
ENSG00000134690	ENSG00000140279
ENSG00000120093	ENSG00000042832
ENSG00000120093	ENSG00000140279
ENSG00000104313	ENSG00000140279
ENSG00000104313	ENSG00000042832
ENSG00000183072	ENSG00000042832
ENSG00000077782	ENSG00000104826
ENSG00000077782	ENSG00000169297
ENSG00000100146	ENSG00000101292
ENSG00000171316	ENSG00000075213
ENSG00000171316	ENSG00000170381
ENSG00000120008	ENSG00000075213
ENSG00000104899	ENSG00000253293
ENSG00000104899	ENSG00000170275
ENSG00000104899	ENSG00000103313
ENSG00000125107	ENSG00000162552
ENSG00000162552	ENSG00000103313
ENSG00000197324	ENSG00000185960
ENSG00000206557	ENSG00000158955
ENSG00000141646	ENSG00000204983
ENSG00000197912	ENSG00000168000
ENSG00000197912	ENSG00000021574
ENSG00000141837	ENSG00000197912
ENSG00000139626	ENSG00000163629
ENSG00000006282	ENSG00000136457
ENSG00000122971	ENSG00000093144
ENSG00000077782	ENSG00000074047
ENSG00000171316	ENSG00000121454
ENSG00000171316	ENSG00000077782
ENSG00000120008	ENSG00000109163
ENSG00000175426	ENSG00000109163
ENSG00000171316	ENSG00000109163
ENSG00000120008	ENSG00000147437
ENSG00000074047	ENSG00000101292
ENSG00000074047	ENSG00000164093
ENSG00000169297	ENSG00000101292
ENSG00000115705	ENSG00000091137
ENSG00000163492	ENSG00000101292
ENSG00000053918	ENSG00000180509
ENSG00000180509	ENSG00000183873
